transaction,item,date,profit
T_01,I_0,2022-11-01,10
T_01,I_1,2022-11-01,20
T_01,I_2,2022-11-01,30
T_01,I_3,2022-11-01,40
T_01,I_4,2022-11-01,50
T_01,I_5,2022-11-01,60
T_01,I_7,2022-11-01,80
T_02,I_0,2022-11-02,10
T_02,I_2,2022-11-02,30
T_02,I_3,2022-11-02,40
T_02,I_4,2022-11-02,50
T_02,I_5,2022-11-02,60
T_02,I_6,2022-11-02,70
T_02,I_7,2022-11-02,80
T_03,I_0,2022-11-02,10
T_03,I_2,2022-11-03,30
T_03,I_3,2022-11-03,40
T_03,I_8,2022-11-03,90
T_04,I_0,2022-11-04,10
T_04,I_1,2022-11-04,20
T_04,I_4,2022-11-04,50
T_04,I_6,2022-11-04,70
T_04,I_7,2022-11-04,80
T_04,I_8,2022-11-04,90
T_04,I_9,2022-11-04,100
T_05,I_0,2022-11-05,10
T_05,I_1,2022-11-05,20
T_05,I_4,2022-11-05,50
T_05,I_8,2022-11-05,90
T_05,I_9,2022-11-05,100
T_06,I_0,2022-11-06,10
T_06,I_1,2022-11-06,20
T_06,I_7,2022-11-06,80
T_06,I_8,2022-11-06,90
T_06,I_9,2022-11-06,100
T_07,I_0,2022-11-07,10
T_07,I_5,2022-11-07,60
T_07,I_8,2022-11-07,90
T_08,I_0,2022-11-08,10
T_08,I_1,2022-11-08,20
T_08,I_3,2022-11-08,40
T_08,I_9,2022-11-08,100
T_09,I_1,2022-11-09,20
T_09,I_2,2022-11-09,30
T_09,I_8,2022-11-09,90
T_09,I_8,2022-11-09,90
T_09,I_8,2022-11-09,90
T_10,I_1,2022-11-10,20
T_10,I_4,2022-11-10,50
T_10,I_9,2022-11-10,100
